['319', '3,5-dibutyl-1,2-benzoquinone', '81467-56-3']
['320', '(3’indolyl)-1,2-benzoquinone', 'N/A']
['322', '4-allyloxy-1,2-naphthoquinone', 'N/A']
['323', '4-dimethylamino-1,2-naphthoquinone', '23673-39-4']
['324', '4-ethylamino-1,2-naphthoquinone', '57404-52-1']
['325', '4-hydroxy-1,2-naphthoquinone', '27699-93-0']
['326', '4-sulfonate', '(K+)-1,2-naphthoquinone']
['327', '4,6-disulfonate', '(diNa+)-1,2-naphthoquinone']
['328', '4-allyloxy-1,2-anthraquinone', 'N/A']
['329', '2-hydroxy-1,4anthraquinone', '610-21-9']
['331', '2,7-dihydroxy-9,10-phenanthrenequinone', '116435-70-2']
['333', '3,3′,5,5′-tetraisopropyl-4,4′-diphenoquinone', '2178-51-0']
['334', '3,3′,5,5′-tetrabutyl-4,4′-diphenoquinone', 'N/A']
['336', '1,4-dihydroxy-xanthen-9-one', 'N/A']
['339', 'thioxanthenone-S-dioxide', 'N/A']
['342', '10,10-dimethyl-9-anthrone-2-sulfonate', 'N/A']
