File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
317,4784.950355917734,3167.357410819897
318,4783.370707246097,3184.091073973588
319,3987.547173071715,2699.9822777048166
320,4027.2325227737806,2869.8755734769998
321,4143.217293421311,3027.894834877712
322,3724.8636852787095,2597.6470210070524
323,3705.4845551242993,2784.984231603932
324,3452.504678640923,2547.8488852640826
325,3809.762069315525,2738.8731636206585
326,4062.4970700793065,2836.9318761387112
327,4082.767093765483,-4743.310286156768
328,3596.8532914554057,2472.9746670323893
329,3803.357009495535,2797.8151131058166
330,3689.210472060599,2541.8266791336646
331,3837.964211114907,2682.5467057177875
332,4174.099117154642,3578.7413452561245
333,3512.095244569988,3087.366924856069
334,3631.294346455998,3113.721331431666
335,2810.287540875601,2146.172202955341
336,2931.1917986770977,3805.45614288312
337,2854.0517671049456,2180.0203584116953
338,3335.0158238047056,2605.481218220797
339,3427.5740815720023,2618.5222353727645
340,3018.490178107007,-20831541.426887743
341,2799.5963886043096,-18875351.560100757
342,2841.1879632109035,5220.905924841846
343,3255.9200844209936,2372.068958615024
344,2840.082651053487,-17771995.761068083
345,2815.158043094678,4334.527799794243
346,3361.1758089897417,2292.4023278049026
347,5117.470692022056,4489.978570897016
348,3563.6800680338915,2758.9488665977624
349,3541.270306953339,3011.3766597834615
