File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
317,5033.767973714245,3846.7956608406384
318,5021.838780296388,3773.600429859922
319,4394.072450163192,3166.732418823666
320,4398.397141183126,3334.408744705347
321,4454.433300327657,3435.013917637549
322,4107.984808641128,3034.5785717230306
323,4020.650162619648,3122.8886390072057
324,3839.471827276181,2935.6620159481204
325,4138.214195534237,3075.9492596870437
326,4390.096446910134,3276.4201049488993
327,4404.6066612424775,3405.9603706715916
328,3989.9479521414796,2972.8797214068823
329,4028.770955195191,3129.730892543093
330,4047.7855146277298,2950.4674433231335
331,4180.1236443667685,3178.73824068893
332,4378.568953382451,3740.3879031117244
333,3792.7966841790153,3353.9309412541224
334,3909.3353231495457,3454.2679868214536
335,3010.983033326148,1904.9910058748708
336,3095.9249873438384,2023.872372322331
337,3041.384564108837,2086.4416998785427
338,3603.3921088361135,2814.303105961701
339,3702.1250023767434,2886.3631146335165
340,3146.8469658260237,2168.990638078922
341,3000.88366223211,1863.5838853275418
342,3038.04312834033,1682.870428012839
343,3438.4148607784837,2376.9997328240624
344,2963.1602788317746,1887.1502237817597
345,3019.347947889826,2080.3824353161012
346,3576.9341514480725,2630.5111538628707
347,5073.729600441308,4233.459231823413
348,3723.5081885613818,2829.4613163307345
349,3532.8302496794295,2724.252505960837
