File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
317,4886.320689289714,3601.3166243906444
318,4863.850011311357,3549.463455852767
319,4153.185413065567,2820.602228568003
320,4158.254818303836,2953.927058454841
321,4262.464879572524,3127.4965485220227
322,3885.529488552327,2688.627496772042
323,3802.4237731951494,2775.5572428895025
324,3600.7744757722285,2575.453942496666
325,3921.8685399158217,2730.9664658665256
326,4166.291170230854,2914.9820610707297
327,4170.980421092774,-4759.271031038063
328,3769.2000246959487,2641.695385463764
329,3836.844983331658,2819.7748206298484
330,3834.491268121831,2628.5882405421535
331,3968.349901064032,2848.3419903074277
332,4190.667196928643,3474.9458491844716
333,3555.1121144018744,3085.8434883246696
334,3688.172669972191,3176.31753784574
335,2808.0914961102694,1572.2091627936131
336,2912.568405838964,1720.947895074929
337,2837.322871315347,1740.8587004083765
338,3392.4672673082164,2506.571119573651
339,3515.0534565780945,2607.741532244037
340,2964.510308896291,1872.1137084147633
341,2780.213497903789,1512.6495110931621
342,2808.7651655647132,1356.4848746996956
343,3233.1988409443843,2033.0132500201778
344,2753.872609672651,1584.0693305095697
345,2815.063806544998,1783.1003935019633
346,3377.852049096848,2299.9738289229804
347,4934.362580788048,4023.196914192191
348,3539.4439539955833,2542.2067790858305
349,3345.152217962627,2412.839470859132
