['000', 'cyano-1,4-benzoquinone', '3958-77-8']
['004', '2-bromo-5-t-butyl-1,4-benzoquinone', '21099-14-9']
['006', '2-iodo-6-isopropyl-1,4-benzoquinone', 'N/A']
['007', '2-iodo-3-methyl-6-isopropyl-1,4-benzoquinone', '7294-88-4']
['008', '2-chloro-6-bromo-1,4-benzoquinone', '14414-36-9']
['016', '2,3-diiodo-5-t-butyl-1,4-benzoquinone', 'N/A']
['018', '2,5-dichloro-3,6-di-t-butyl-1,4-benzoquinone', '33611-73-3']
['020', '2,5-dibromo-3,6-diisopropyl-1,4-benzoquinone', 'N/A']
['024', '2,5-dibromo-3,6-diamino-1,4-benzoquinone', 'N/A']
['025', '2,5-dibromo-3,6-di(cyclohexylamino)-1,4-benzoquinone', 'N/A']
['027', 'tribromo-hexyl-1,4-benzoquinone', 'N/A']
['035', '2-methyl-5-isopropyl-3,6-dinitro-1,4-benzoquinone', '92574-55-5']
['036', '2-methyl-3-cumyl-1,4-benzoquinone', 'N/A']
['040', '2,3-dimethyl-5-prenyl-1,4-benzoquinone', 'N/A']
['041', '2,3-dimethyl-5-nanoprenyl-1,4-benzoquinone', 'N/A']
['042', "2,3-dimethyl-5-(1'-acetoxy)ethyl-1,4-benzoquinone", 'N/A']
['043', '2,3-dimethyl-5,6-diisopropyl-1,4-benzoquinone', 'N/A']
['044', '2,3-dimethyl-5,6-methylenedioxy-1,4-benzoquinone', '58698-90-1']
['045', '2,5-di-t-butyl-1,4-benzoquinone', '93896-16-3']
['050', 'trimethyl-phytyl-1,4-benzoquinone', '28072-25-5']
['051', 'trimethyl-propanoic', 'acid-1,4-benzoquinone']
['052', 'trimethyl-(2-carboxyethylthio)-1,4-benzoquinone', 'N/A']
['053', 'tetramethyl-1,4-benzoquinone', 'N/A']
['054', 'tetraisopropyl-1,4-benzoquinone', 'N/A']
['055', 'octamethyl-1,4,5,8-tetrahydroanthraquinone-1,4-benzoquinone', 'N/A']
['056', 'acetyl-1,4-benzoquinone', '1125-55-9']
['057', '2-acetyl-3-methyl-1,4-benzoquinone', '78606-28-7']
['058', '2-acetyl-5-methyl-1,4-benzoquinone', '63076-94-8']
['059', '2-acetyl-6-methyl-1,4-benzoquinone', '274259-42-6']
['060', '2-acetyl-3-chloro-1,4-benzoquinone', '52095-13-3']
