File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
000,4664.341634964692,3286.242075220292
001,5113.21353556557,3787.746119724607
002,5337.120371230596,4043.382989748119
003,4407.550100495698,3054.845022633176
004,4264.543925926512,2941.433539568141
005,4311.763971382595,3014.5729910488512
006,4265.2090947122315,2948.5835666651456
007,4132.950464139219,2844.8762282438324
008,4573.9071418212525,3255.384773881055
009,4518.118949555611,3198.1171286707327
010,4565.395321426318,3242.051194029326
011,4569.463885045913,3240.003306798853
012,4573.504693613265,3272.6614754311577
013,4517.128529689893,3243.585939381758
014,4369.345629578882,3073.081178118492
015,4363.690402337541,3096.3902490270493
016,4303.056232970756,3078.701575497997
017,4264.2323618895425,3044.438784099048
018,4006.103333393959,2873.0524462828844
019,4292.138975018171,3062.8205175002195
020,4244.217978526919,2983.27971775675
021,4433.995301453082,3047.44911843699
022,4324.273879332373,3155.6374822961407
023,4389.898243201314,3179.2442397217346
024,3809.67813204351,2829.3325301853515
025,3685.3866698676516,2875.7000602654675
026,4669.21362562313,3379.159502362266
027,4532.610078209195,3274.570043183355
028,4825.124836654865,3407.0382515964766
029,4763.155758289504,3503.487427063557
030,4735.294315159501,3564.7115272751103
031,4607.693471558136,3497.1962826748654
032,4129.577327753962,2814.6824086334705
033,4079.1925808944,2691.363243901246
034,3996.228195870396,2633.465341392486
035,4807.944706353797,3440.3373441657936
036,3998.455973912246,1072769.4978939423
037,3992.3338904191696,2686.085158789394
038,4020.469564323291,2751.026421935168
039,4025.4660717428924,2733.734808855166
040,3869.2549429124656,2559.5940273548167
041,3845.5297639510636,2288.9743833586554
042,3998.862857482275,2696.4453838073027
043,3724.232010303485,2434.184635344245
044,4069.8549117384973,2819.1847401301793
045,3922.429453124861,2583.0398871300868
046,3912.900519029386,2578.446236079731
047,3978.210053574377,2589.9875744784044
048,3974.036456142923,2431.494926216421
049,3883.662588737349,2620.097394253536
050,3770.289636208399,2374.3736752815953
051,4103.071201742722,2242.5472071403788
052,4076.7412930806995,3513.4329862184068
053,3753.147737133616,2520.705312859596
054,3664.646981778977,2428.3958845448265
055,3779.5864891239266,2433.488391776563
056,4361.423059749638,3149.1017397286014
057,4193.095110637243,2872.6759844262865
058,4271.927830117954,3094.524157380087
059,4257.909516879461,3093.322445400683
060,4496.942010601472,3114.206106007844
