File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
000,4660.580450347136,3381.294665618039
001,5106.63625566895,3874.08127650941
002,5336.080092957903,4122.254386700618
003,4414.1248933188635,3156.2403518846872
004,4266.015953022066,3042.989415455191
005,4317.777731265377,3113.359598779472
006,4297.872860611673,3080.1756216586336
007,4165.556507666807,2978.2635913583235
008,4575.818691893661,3343.9990065759916
009,4529.822869951537,3301.6668619547136
010,4569.531201921914,3335.82067668257
011,4576.760872404542,3337.0953545100947
012,4574.576166399267,3354.904095853104
013,4560.083856806201,3377.7497988902674
014,4376.299877461836,3171.921921796354
015,4367.4910807710585,3193.6461413190314
016,4341.0839559311935,3206.3335700560006
017,4273.40458374941,3149.145015838072
018,3999.9130894840864,2963.7213961229895
019,4299.6004110341,3156.9218199597244
020,4247.314345367355,3079.085327135534
021,4439.705208858738,3108.933656238092
022,4327.595628061666,3254.58225841865
023,4397.0285125382925,3271.625338636728
024,3786.3792298106664,2904.2898530358843
025,3663.894885271279,2997.1770516435163
026,4677.748711280986,3467.611139445399
027,4540.040605422534,3369.6961790360915
028,4838.965204654467,3519.793205307157
029,4774.517007236115,3595.9533639270085
030,4752.92114662605,3656.820566876822
031,4668.073886295804,3640.9088206254005
032,4139.532677357649,2930.2154522512537
033,4090.1351830282897,2809.8179717069142
034,4010.325700795146,2755.8542466829376
035,4778.339906017953,3527.0318363185665
036,4095.741836218291,2070.354215102745
037,4006.9789453095304,2806.8231230348624
038,4035.953099238628,2866.7384094274844
039,4041.6581032568565,2851.6259595128968
040,3880.6973644952373,2673.172971324012
041,3863.5265294132646,-3883.5264910388796
042,4010.782361143611,2799.6533082187007
043,3738.8725345902585,2561.1262257774038
044,4088.129450824197,2932.515072328109
045,3941.9512605622335,2698.897749172171
046,3924.22729729273,2695.628928233906
047,3990.798769555966,2710.954536919135
048,3989.108005453931,2551.2773521583495
049,3901.3327861227053,2740.854117645044
050,3786.7137244233377,2494.960801718009
051,4026.5117649773333,2415.10398895788
052,3993.267072296919,3592.655574341893
053,3768.832468940855,2649.7148748376276
054,3679.6140823141086,2550.2355772840606
055,3799.015464086227,2564.54414574588
056,4385.333307748408,3245.781339251619
057,4189.580722820419,2995.916074482854
058,4299.596538929707,3195.163822773892
059,4283.053923052888,3190.9625818546674
060,4492.539629932179,3217.9772592685
