183 1-hydroxy-3-bromo-4-amino-9,10-anthraquinone 
184 1,2-dihydroxy-9,10-anthraquinone 72–48–0
185 1,4-dihydroxy-9,10-anthraquinone 81–64-1
186 1,5-dihydroxy-9,10-anthraquinone 117-12-4
187 1,8-dihydroxy-9,10-anthraquinone 117-10-2
188 2,6-dihydroxy-9,10-anthraquinone 84-60-6
189 2,7-dihydroxy-9,10-anthraquinone 572-93-0
190 1,2-dihydroxy3-sulfonate-9,10-anthraquinone 83-61-4
191 1,4-dihydroxy-5-methoxy-9,10-anthraquinone 64831-67-0
192 Adriamycin 25316-40-9
193 Cerubidine 23541-50-6
194 1,4-dihydroxy-2-sulfonate-9,10-anthraquinone
195 1,4-diydroxy-2-methylsulfonate-9,10-anthraquinone
196 1,8-dihydroxy-3-methyl-9,10-anthraquinone 481-74-3
197 1,4-dihydroxy-2,3-dimethyl-9,10-anthraquinone 25060-18-8
198 1,8-dihydroxy-4,5-diamino-9,10-anthraquinone 128-94-9
199 1,2,3-trihydroxy-9,10-anthraquinone 602-64-2
200 1,2,4-trihydroxy-9,10-anthraquinone 81-54-9
201 1,4,5-trihydroxy-9,10-anthraquinone 2961-04-8
202 1,4,6-trihydroxy-9,10-anthraquinone 7475-11-8
203 1,3,8-trihydroxy-6-methyl-9,10-anthraquinone 518-82-1
204 1,2,5,8-tetrahydroxy-9,10-anthraquinone 81-61-8
205 1,4,5,8-tetrahydroxy-9,10-anthraquinone 81-60-7
206 1,4,5,8-tetrahydroxy-2-methyl-9,10-anthraquinone 476-43-7
207 1,2,4,5,8-pentahydroxy-9,10-anthraquinone 5413-65-0
208 1,2,3,5,6,7-hexahydroxy-9,10-anthraquinone 82-12-2
209 Doxorubicin 23214-92-8
210 Cerubidine 23541-50-6
211 (2-hydroxybenz[a])-9,10-anthraquinone
212 1-piperidino-9,10-anthraquinone 4946-83-2
213 2-piperidino-9,10-anthraquinone 6345-74-0
214 2-hydroxyethyl-9,10-anthraquinone
215 2-methylsulfonate-9,10-anthraquinone
216 2,6-dimethylsulfonate-9,10-anthraquinone
217 2,7-dimethylsulfonate-9,10-anthraquinone
218 2-aminosulfonyl-9,10-anthraquinone
219 2,6-di(aminosulfonyl)-9,10-anthraquinone
220 2,7-di(aminosulfonyl)-9,10-anthraquinone
221 2-methoxycarbonyl-9,10-anthraquinone
222 1-sulfonate-9,10-anthraquinone 128-56-3
223 2-sulfonate-9,10-anthraquinone 131-08-8
224 1,5-disulfonate-9,10-anthraquinone 117-14-6
225 2,6-disulfonate-9,10-anthraquinone 853-68-9
226 2,7-disulfonate-9,10-anthraquinone 853-67-8 
