File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
292,3876.7076633099828,2617.0431416097435
293,3871.4777413690117,2604.4722813847397
294,3865.439113498733,2655.2841566681586
295,3862.572452344727,1904.9898140338473
296,3844.0040525921695,2635.149501424869
297,4045.015639672448,2891.51962174001
298,3859.30742458914,2459.083444709371
299,3868.246999264372,2548.1915730440537
300,3865.5702697147035,2575.425806499898
301,4167.851812133072,3158.0068654988995
302,3745.5460102235943,2666.4460400132302
303,3749.3587920223285,2648.538863492709
304,3900.836242860797,2692.384085477301
305,3825.867488751062,2632.0431128258615
306,4055.86133315707,2888.157179202325
307,4003.5393110946293,3057.9670030380676
308,3785.4021514332426,2566.5604085451055
309,3904.876343950904,2799.8138113130376
310,4152.188277562634,3188.722289554769
311,3838.898756262275,2593.455159663941
312,3739.496498021106,2891.8717843299064
313,4069.2955930871567,2874.7484974561808
314,3961.7423300714,2809.8082139054713
315,4008.2200640193973,2626.5963205570188
316,3431.3325723271046,2300.044865523088
