File Name,E_redox(Q/Q.-) (mV),E_redox(Q.-/Q=) (mV)
292,3796.0927077886636,2612.6559554711484
293,3794.476046948497,2612.332263574521
294,3800.4260872288414,2683.926028242676
295,3795.1354987357345,1688.415290839136
296,3759.726949003635,2594.679636214926
297,3922.8236455683036,2819.651849432863
298,3789.411653944473,2479.659832434381
299,3789.4800075434528,2565.832418108007
300,3790.205094597524,2582.7323366979076
301,4091.2652135121157,3141.703617869955
302,3624.5023758190027,2631.186300862866
303,3638.7419158411626,2616.2391322711287
304,3821.0586245123104,2669.3041624173607
305,3709.5189337713414,2484.808919154891
306,3942.2452219043944,2767.2906600995548
307,3985.7667302294917,3244.7203807455608
308,3699.9891588620017,2658.7666751557417
309,3842.3281728156776,2805.089325000604
310,4133.708079007805,3303.9052984713553
311,3752.8145296112466,2503.6308422221896
312,3625.9428846186615,2756.665110433781
313,3958.7595303481166,2837.363086201454
314,3852.533788606268,2804.7731242448003
315,3908.964768755959,2652.1638687770696
316,3352.3485660587166,2754.930052539872
