227 6-cyano-1,4-naphthoquinone 88437–16–5
228 6-cyano-2,3-dimethyl-1,4-naphthoquinone
229 2-chloro-1,4-naphthoquinone 1010–60–2
230 2-chloro-3-propylamino-1,4-naphthoquinone
231 2,3-dichloro-1,4-naphthoquinone 117–80–6
232 6,7-dichloro-1,4-naphthoquinone 577–67–3
233 2,3-dibromo-1,4-naphthoquinone 13243–65–7
234 6,7-dibromo-2-methyl-1,4-naphthoquinone 117157–44–5
235 6,7-dibromo-2,3-dimethyl-1,4-naphthoquinone 117157-43-4
236 2-methyl-1,4-naphthoquinone 58-27-5
237 5-methyl-1,4-naphthoquinone 571-63-1
238 6-methyl-1,4-naphthoquinone 605-93-6
239 2-t-butyl-1,4-naphthoquinone 51595-06-3
240 2-cyclohexyl-1,4-naphthoquinone 34987-31-0
241 2,3-dimethyl-1,4-naphthoquinone 2197-57-1
242 2,6-dimethyl-1,4-naphthoquinone 6290-94-4
243 2,7-dimethyl-1,4-naphthoquinone 482-70-2
244 2,8-dimethyl-1,4-naphthoquinone 63837-76-3
245 5,8-dimethyl-1,4-naphthoquinone 31368-11-3
246 6,7-dimethyl-1,4-naphthoquinone 2202-79-1
247 2-methyl-3-ethyl-1,4-naphthoquinone 2589-56-2
248 2-methyl-3-pentyl-1,4-naphthoquinone 117157-40-1
249 2-methyl-3-decyl-1,4-naphthoquinone
250 2-methyl-3-undecyl-1,4-naphthoquinone 18093-44-2
251 2-methyl-3-diprenyl-1,4-naphthoquinone
252 2-methyl-3-heptaprenyl-1,4-naphthoquinone
253 2-methyl-3-decaprenyl-1,4-naphthoquinone
254 2-methyl-3-decyl-6,7-dichloro-1,4-naphthoquinone
255 2,3,5-trimethyl-1,4-naphthoquinone 98055-57-3
256 2,3,6,7-tetramethyl-1,4-naphthoquinone 18691-07-1
257 2-methoxy-1,4-naphthoquinone 2348-82-5
258 5-methoxy-1,4-naphthoquinone 4923-61-9
259 2-methoxy-7-hydroxy-1,4-naphthoquinone
260 2,3-dimethoxy-1,4-naphthoquinone 6956-96-3
261 5,8-dimethoxy-1,4-naphthoquinone 15013-16-8
262 5-acetoxy-1,4-naphthoquinone 5196-28-1
263 5-acetoxy-8-hydroxy-1,4-naphthoquinone 14597-06-9
264 5,8-diacetoxy-1,4-naphthoquinone 14569-45-0
265 2,5,8-triacetoxy-1,4-naphthoquinone
266 2-allyloxy-1,4-naphthoquinone40815-72-3
267 2-isopropoxy-1,4-naphthoquinone 53626-49-6
268 2-phenylsulfonyl-1,4-naphthoquinone
269 2-amino-1,4-naphthoquinone 2348-81-4
270 2-amino-3-thiol-1,4-naphthoquinone
271 2-amino-3-acetylamino-1,4-naphthoquinone
272 2-amino-3-propionylamino-1,4-naphthoquinone
273 2-amino-3-dimethylamino-1,4-naphthoquinone
274 2-dimethylamino-1,4-naphthoquinone 14422-78-7
275 2-(3-methylureidyl)-1,4-naphthoquinone
276 2-methylthio-1,4-naphthoquinone 26037-60-5
277 2-methylthio-3-methyl-1,4-naphthoquinone
278 2-ethylthio-3-methyl-1,4-naphthoquinone
279 2-hydroxy-1,4-naphthoquinone 83-72-7
280 5-hydroxy-1,4-naphthoquinone 481-39-0
281 2-hydroxy-3-methyl-1,4-naphthoquinone 483-55-6
282 2-hydroxy-3-ethyl-1,4-naphthoquinone 29366-44-7
283 2-hydroxy-3-pentyl-1,4-naphthoquinone 41245-53-8
284 2-hydroxy-3-hexyl-1,4-naphthoquinone
285 2-hydroxy-3-heptyl-1,4-naphthoquinone
286 2-hydroxy-3-octyl-1,4-naphthoquinone 41245-56-1
287 2-hydroxy-3-nonyl-1,4-naphthoquinone 22799-68-4
288 2-hydroxy-3-undecyl-1,4-naphthoquinone 41245-59-4
289 2-hydroxy-3-(3-methylbutyl)-1,4-naphthoquinone 3343-38-2
290 2-hydroxy-3-prenyl-1,4-naphthoquinone 1150-59-0
291 2-hydroxy-3-(3,7-dimethyloctyl)-1,4-naphthoquinone
