['227', '6-cyano-1,4-naphthoquinone', '88437–16–5']
['228', '6-cyano-2,3-dimethyl-1,4-naphthoquinone', 'N/A']
['229', '2-chloro-1,4-naphthoquinone', '1010–60–2']
['230', '2-chloro-3-propylamino-1,4-naphthoquinone', 'N/A']
['231', '2,3-dichloro-1,4-naphthoquinone', '117–80–6']
['232', '6,7-dichloro-1,4-naphthoquinone', '577–67–3']
['233', '2,3-dibromo-1,4-naphthoquinone', '13243–65–7']
['234', '6,7-dibromo-2-methyl-1,4-naphthoquinone', '117157–44–5']
['235', '6,7-dibromo-2,3-dimethyl-1,4-naphthoquinone', '117157-43-4']
['237', '5-methyl-1,4-naphthoquinone', '571-63-1']
['238', '6-methyl-1,4-naphthoquinone', '605-93-6']
['244', '2,8-dimethyl-1,4-naphthoquinone', '63837-76-3']
['245', '5,8-dimethyl-1,4-naphthoquinone', '31368-11-3']
['248', '2-methyl-3-pentyl-1,4-naphthoquinone', '117157-40-1']
['249', '2-methyl-3-decyl-1,4-naphthoquinone', 'N/A']
['250', '2-methyl-3-undecyl-1,4-naphthoquinone', '18093-44-2']
['251', '2-methyl-3-diprenyl-1,4-naphthoquinone', 'N/A']
['252', '2-methyl-3-heptaprenyl-1,4-naphthoquinone', 'N/A']
['253', '2-methyl-3-decaprenyl-1,4-naphthoquinone', 'N/A']
['254', '2-methyl-3-decyl-6,7-dichloro-1,4-naphthoquinone', 'N/A']
['255', '2,3,5-trimethyl-1,4-naphthoquinone', '98055-57-3']
['256', '2,3,6,7-tetramethyl-1,4-naphthoquinone', '18691-07-1']
['259', '2-methoxy-7-hydroxy-1,4-naphthoquinone', 'N/A']
['263', '5-acetoxy-8-hydroxy-1,4-naphthoquinone', '14597-06-9']
['265', '2,5,8-triacetoxy-1,4-naphthoquinone', 'N/A']
['266', '2-allyloxy-1,4-naphthoquinone40815-72-3', 'N/A']
['267', '2-isopropoxy-1,4-naphthoquinone', '53626-49-6']
['268', '2-phenylsulfonyl-1,4-naphthoquinone', 'N/A']
['270', '2-amino-3-thiol-1,4-naphthoquinone', 'N/A']
['271', '2-amino-3-acetylamino-1,4-naphthoquinone', 'N/A']
['272', '2-amino-3-propionylamino-1,4-naphthoquinone', 'N/A']
['273', '2-amino-3-dimethylamino-1,4-naphthoquinone', 'N/A']
['275', '2-(3-methylureidyl)-1,4-naphthoquinone', 'N/A']
['277', '2-methylthio-3-methyl-1,4-naphthoquinone', 'N/A']
['278', '2-ethylthio-3-methyl-1,4-naphthoquinone', 'N/A']
['284', '2-hydroxy-3-hexyl-1,4-naphthoquinone', 'N/A']
['285', '2-hydroxy-3-heptyl-1,4-naphthoquinone', 'N/A']
['286', '2-hydroxy-3-octyl-1,4-naphthoquinone', '41245-56-1']
['287', '2-hydroxy-3-nonyl-1,4-naphthoquinone', '22799-68-4']
['291', '2-hydroxy-3-(3,7-dimethyloctyl)-1,4-naphthoquinone', 'N/A']
